threshold,precision,recall,false_positive_rate,false_positives,true_negatives,false_negatives,true_positives
0.05,0.9857,0.9928,0.0023,4,1719,2,276
0.1,0.9857,0.9928,0.0023,4,1719,2,276
0.15,0.9857,0.9928,0.0023,4,1719,2,276
0.2,0.9857,0.9892,0.0023,4,1719,3,275
0.25,0.9857,0.9892,0.0023,4,1719,3,275
0.3,0.9857,0.9892,0.0023,4,1719,3,275
0.35,0.9857,0.9892,0.0023,4,1719,3,275
0.4,0.9928,0.9892,0.0012,2,1721,3,275
0.45,0.9928,0.9892,0.0012,2,1721,3,275
0.5,0.9928,0.9892,0.0012,2,1721,3,275
0.55,0.9928,0.9892,0.0012,2,1721,3,275
0.6,0.9928,0.9892,0.0012,2,1721,3,275
0.65,0.9928,0.9856,0.0012,2,1721,4,274
0.7,0.9927,0.9784,0.0012,2,1721,6,272
0.75,0.9927,0.9784,0.0012,2,1721,6,272
0.8,0.9963,0.9784,0.0006,1,1722,6,272
0.85,0.9963,0.9784,0.0006,1,1722,6,272
0.9,0.9963,0.9784,0.0006,1,1722,6,272
0.95,0.9963,0.9784,0.0006,1,1722,6,272
